,CODE,NAME,SECT.,STOCK NO.,CAPT.
0,000250,삼천당제약,의약품 제조업,"22,569,369","11,284,684,500"
1,000440,중앙에너비스,기타 전문 도매업,"6,227,130","3,113,565,000"
2,001000,신라섬유,가전제품 및 정보통신장비 소매업,"24,277,540","2,427,754,000"
3,001540,안국약품,의약품 제조업,"13,042,420","6,521,210,000"
4,001810,무림SP,"펄프, 종이 및 판지 제조업","22,137,500","11,068,750,000"
5,001840,이화공영,건물 건설업,"19,805,760","9,902,880,000"
6,002230,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","19,669,243","9,834,621,500"
7,002290,삼일기업공사,건물 건설업,"12,400,000","6,200,000,000"
8,002680,한탑,"곡물가공품, 전분 및 전분제품 제조업","22,299,452","11,149,726,000"
9,002800,신신제약,의약품 제조업,"15,170,500","7,585,250,000"
10,003100,선광,기타 운송관련 서비스업,"6,600,000","6,600,000,000"
11,003310,대주산업,동물용 사료 및 조제식품 제조업,"35,392,350","18,696,175,000"
13,003800,에이스침대,가구 제조업,"11,090,000","11,090,000,000"
14,004590,한국가구,생활용품 도매업,"15,000,000","1,500,000,000"
15,004650,창해에탄올,알코올음료 제조업,"9,190,885","4,595,442,500"
16,004780,대륙제관,기타 금속 가공제품 제조업,"15,903,199","7,951,599,500"
17,005160,동국산업,1차 철강 제조업,"54,244,482","54,244,482,000"
18,005290,동진쎄미켐,기초 화학물질 제조업,"51,414,494","25,707,247,000"
19,005670,푸드웰,"과실, 채소 가공 및 저장 처리업","10,000,000","5,000,000,000"
20,005710,대원산업,자동차 신품 부품 제조업,"20,037,600","10,018,800,000"
21,005860,한일사료,동물용 사료 및 조제식품 제조업,"39,403,685","19,701,842,500"
22,005990,매일홀딩스,낙농제품 및 식용빙과류 제조업,"13,718,304","6,859,152,000"
23,006050,국영지앤엠,유리 및 유리제품 제조업,"34,895,243","17,447,621,500"
24,006140,피제이전자,의료용 기기 제조업,"15,000,000","7,500,000,000"
25,006580,대양제지,"펄프, 종이 및 판지 제조업","26,850,000","13,425,000,000"
26,006620,동구바이오제약,의약품 제조업,"9,604,000","4,802,000,000"
27,006730,서부T&D,일반 및 생활 숙박시설 운영업,"58,140,444","29,070,222,000"
28,006910,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업","46,073,059","23,036,529,500"
29,006920,모헨즈,"시멘트, 석회, 플라스터 및 그 제품 제조업","10,920,000","5,460,000,000"
31,007370,진양제약,의약품 제조업,"12,000,000","6,000,000,000"
32,007390,네이처셀,기초 의약물질 및 생물학적 제제 제조업,"61,190,399","30,595,199,500"
33,007530,영신금속,기타 금속 가공제품 제조업,"12,832,968","6,416,484,000"
34,007680,대원,건물 건설업,"11,587,630","5,793,815,000"
35,007720,대명소노시즌,상품 종합 도매업,"100,800,450","50,400,225,000"
36,007770,한일화학,기초 화학물질 제조업,"3,510,000","1,755,000,000"
37,007820,에스엠코어,일반 목적용 기계 제조업,"20,033,946","10,016,973,000"
38,008290,원풍물산,봉제의복 제조업,"40,693,679","20,346,839,500"
39,008370,원풍,플라스틱제품 제조업,"12,000,000","6,000,000,000"
40,008470,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업","8,404,800","4,202,400,000"
41,008800,행남사,기타 식품 제조업,"45,628,344","22,814,172,000"
42,008830,대동기어,특수 목적용 기계 제조업,"8,987,520","4,493,760,000"
43,009300,삼아제약,의약품 제조업,"6,370,000","6,370,000,000"
44,009520,포스코엠텍,1차 철강 제조업,"41,642,703","20,821,351,500"
45,009620,삼보산업,1차 비철금속 제조업,"38,092,246","3,809,224,600"
46,009730,코센,1차 철강 제조업,"120,066,527","60,033,263,500"
47,009780,엠에스씨,기타 식품 제조업,"17,600,000","8,800,000,000"
48,010170,대한광통신,절연선 및 케이블 제조업,"73,741,625","36,870,812,500"
49,010240,흥국,특수 목적용 기계 제조업,"12,322,696","6,161,348,000"
50,010280,쌍용정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","40,464,034","40,464,034,000"
51,010470,오리콤,광고업,"11,704,050","11,704,050,000"
52,011040,경동제약,의약품 제조업,"26,550,000","13,575,000,000"
53,011080,형지I&C,봉제의복 제조업,"38,955,668","19,477,834,000"
54,011320,유니크,자동차 신품 부품 제조업,"19,320,695","9,660,347,500"
55,011370,서한,건물 건설업,"100,894,865","50,447,432,500"
56,011560,세보엠이씨,건물설비 설치 공사업,"10,530,000","5,265,000,000"
57,012340,뉴인텍,전자부품 제조업,"30,044,502","15,022,251,000"
58,012620,원일특강,1차 철강 제조업,"4,400,000","2,200,000,000"
59,012700,리드코프,기타 전문 도매업,"26,446,135","13,777,741,000"
60,012790,신일제약,의약품 제조업,"10,902,000","5,451,000,000"
61,012860,모베이스전자,자동차 신품 부품 제조업,"52,000,000","26,000,000,000"
62,013030,하이록코리아,1차 철강 제조업,"13,613,232","6,806,616,000"
63,013120,동원개발,건물 건설업,"90,808,100","45,404,050,000"
64,013310,아진산업,자동차 신품 부품 제조업,"36,607,422","18,303,711,000"
65,013720,청보산업,자동차 신품 부품 제조업,"8,178,771","4,089,385,500"
66,013810,스페코,특수 목적용 기계 제조업,"14,655,470","7,327,735,000"
67,013990,아가방컴퍼니,생활용품 도매업,"32,887,536","16,443,768,000"
68,014100,메디앙스,기타 화학제품 제조업,"11,800,000","5,900,000,000"
69,014190,원익큐브,기타 전문 도매업,"35,399,906","17,699,953,000"
70,014200,광림,자동차용 엔진 및 자동차 제조업,"52,922,234","26,461,117,000"
72,014570,고려제약,의약품 제조업,"11,000,000","5,500,000,000"
73,014620,성광벤드,1차 철강 제조업,"28,600,000","14,300,000,000"
74,014940,오리엔탈정공,일반 목적용 기계 제조업,"45,573,661","22,786,830,500"
75,014970,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업","15,125,000","7,562,500,000"
76,015710,코콤,통신 및 방송 장비 제조업,"17,530,500","8,765,250,000"
77,015750,성우하이텍,자동차 신품 부품 제조업,"80,000,000","40,000,000,000"
78,016100,리더스코스메틱,기타 화학제품 제조업,"18,187,414","9,093,707,000"
79,016250,이테크건설,건물 건설업,"2,800,000","14,000,000,000"
81,016670,포비스티앤씨,기타 전문 도매업,"86,559,394","43,279,697,000"
82,016790,현대사료,동물용 사료 및 조제식품 제조업,"6,150,486","3,075,243,000"
83,016920,카스,기계장비 및 관련 물품 도매업,"22,797,640","11,398,820,000"
84,017000,신원종합개발,건물 건설업,"10,068,027","52,989,616,000"
85,017250,인터엠,영상 및 음향기기 제조업,"21,045,467","10,522,733,500"
86,017480,삼현철강,1차 철강 제조업,"15,702,890","8,551,445,000"
87,017510,세명전기,기타 금속 가공제품 제조업,"15,246,000","7,623,000,000"
88,017650,대림제지,기타 종이 및 판지 제품 제조업,"9,000,000","4,500,000,000"
89,017890,한국알콜,기타 화학제품 제조업,"21,605,760","10,802,880,000"
90,018000,유니슨,일반 목적용 기계 제조업,"108,972,799","54,486,399,500"
91,018120,진로발효,알코올음료 제조업,"6,621,120","3,533,010,000"
92,018290,브이티지엠피,컴퓨터 및 주변장치 제조업,"34,002,081","17,001,040,500"
93,018310,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업","14,700,000","7,350,000,000"
94,018620,우진비앤지,의약품 제조업,"26,518,032","13,259,016,000"
95,018680,서울제약,의약품 제조업,"8,485,499","4,242,749,500"
96,018700,바른손,"영화, 비디오물, 방송프로그램 제작 및 배급업","29,471,487","29,471,487,000"
97,019010,베뉴지,종합 소매업,"48,200,000","24,100,000,000"
98,019210,와이지-원,기타 금속 가공제품 제조업,"30,573,819","15,286,909,500"
99,019540,일지테크,자동차 신품 부품 제조업,"13,513,500","6,756,750,000"
100,019550,SBI인베스트먼트,신탁업 및 집합투자업,"162,066,575","83,533,287,500"
101,019570,리더스 기술투자,신탁업 및 집합투자업,"77,634,480","38,817,240,000"
102,019590,엠벤처투자,신탁업 및 집합투자업,"60,142,180","30,071,090,000"
103,019660,글로본,상품 종합 도매업,"29,083,136","14,541,568,000"
104,019770,서연탑메탈,특수 목적용 기계 제조업,"11,650,000","5,825,000,000"
105,019990,에너토크,일반 목적용 기계 제조업,"9,756,088","4,878,044,000"
106,020180,대신정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","38,428,915","19,214,457,500"
107,020400,대동금속,금속 주조업,"2,607,711","2,607,711,000"
108,020710,시공테크,전문디자인업,"20,047,970","10,023,985,000"
109,021040,대호피앤씨,1차 철강 제조업,"73,112,826","38,677,646,000"
110,021080,에이티넘인베스트,신탁업 및 집합투자업,"48,000,000","24,000,000,000"
111,021320,KCC건설,건물 건설업,"21,400,000","107,000,000,000"
112,021650,한국큐빅,플라스틱제품 제조업,"16,350,563","8,175,281,500"
114,022100,포스코 ICT,"건축기술, 엔지니어링 및 관련 기술 서비스업","152,034,729","76,017,364,500"
115,022220,정산애강,플라스틱제품 제조업,"51,794,579","25,897,289,500"
116,023160,태광,1차 철강 제조업,"26,500,000","13,250,000,000"
117,023410,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업","77,310,863","38,655,431,500"
118,023440,제일제강,1차 철강 제조업,"29,492,393","14,746,196,500"
119,023460,CNH,신탁업 및 집합투자업,"37,200,000","93,000,000,000"
120,023600,삼보판지,"펄프, 종이 및 판지 제조업","16,170,000","8,085,000,000"
122,023770,플레이위드,소프트웨어 개발 및 공급업,"8,646,567","4,323,283,500"
123,023790,동일철강,1차 철강 제조업,"7,345,085","3,672,542,500"
124,023890,한국아트라스비엑스,일차전지 및 축전지 제조업,"9,150,000","9,150,000,000"
125,023900,풍국주정,알코올음료 제조업,"12,600,000","6,300,000,000"
126,023910,대한약품,의약품 제조업,"6,000,000","3,000,000,000"
127,024060,흥구석유,기타 전문 도매업,"15,000,000","1,500,000,000"
128,024120,KB오토시스,자동차 신품 부품 제조업,"11,500,000","5,750,000,000"
129,024740,한일단조,자동차 신품 부품 제조업,"29,891,328","14,945,664,000"
130,024800,유성티엔에스,육상 여객 운송업,"27,213,580","13,606,790,000"
131,024810,이화전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","718,312,032","143,662,406,400"
132,024830,세원물산,자동차 신품 부품 제조업,"8,350,000","4,175,000,000"
133,024840,KBI메탈,1차 비철금속 제조업,"32,950,848","16,475,424,000"
134,024850,피에스엠씨,전자부품 제조업,"40,016,523","20,008,261,500"
135,024880,케이피에프,기타 금속 가공제품 제조업,"17,449,357","8,724,678,500"
136,024910,경창산업,자동차 신품 부품 제조업,"35,819,005","17,909,502,500"
137,024940,PN풍년,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000"
138,024950,삼천리자전거,생활용품 도매업,"13,273,577","6,636,788,500"
139,025320,시노펙스,전자부품 제조업,"72,561,128","36,713,620,500"
140,025440,대성엘텍,영상 및 음향기기 제조업,"99,661,343","49,830,671,500"
141,025550,한국선재,1차 철강 제조업,"24,522,254","12,261,127,000"
142,025770,한국정보통신,전기 통신업,"37,444,271","19,406,371,500"
143,025870,신라에스지,음·식료품 및 담배 도매업,"4,000,000","2,000,000,000"
144,025880,케이씨피드,동물용 사료 및 조제식품 제조업,"16,715,858","8,357,929,000"
145,025900,동화기업,나무제품 제조업,"20,198,382","10,599,191,000"
146,025950,동신건설,토목 건설업,"8,400,000","4,200,000,000"
147,025980,아난티,일반 및 생활 숙박시설 운영업,"85,178,787","8,517,878,700"
148,026040,제이에스티나,귀금속 및 장신용품 제조업,"16,503,790","8,684,795,000"
149,026150,특수건설,토목 건설업,"15,625,726","7,812,863,000"
150,026910,광진실업,1차 철강 제조업,"6,405,405","3,202,702,500"
151,027040,서울전자통신,기계장비 및 관련 물품 도매업,"69,588,847","34,794,423,500"
152,027050,코리아나,기타 화학제품 제조업,"40,000,000","20,000,000,000"
154,027580,상보,플라스틱제품 제조업,"46,697,997","23,348,998,500"
155,027710,팜스토리,동물용 사료 및 조제식품 제조업,"111,416,600","57,508,629,000"
156,027830,대성창투,신탁업 및 집합투자업,"40,000,000","20,000,000,000"
157,028040,미래SCI,상품 중개업,"44,979,502","22,489,751,000"
159,028150,GS홈쇼핑,텔레비전 방송업,"6,562,500","32,812,500,000"
160,028300,에이치엘비,선박 및 보트 건조업,"52,654,740","26,327,370,000"
161,029480,바른테크놀로지,통신 및 방송 장비 제조업,"61,935,285","6,193,528,500"
162,029960,코엔텍,폐기물 처리업,"50,000,000","25,000,000,000"
163,030190,NICE평가정보,기타 정보 서비스업,"60,714,820","30,357,410,000"
164,030350,드래곤플라이,소프트웨어 개발 및 공급업,"16,008,491","8,004,245,500"
165,030520,한글과컴퓨터,소프트웨어 개발 및 공급업,"24,440,319","12,881,216,500"
167,030960,양지사,인쇄 및 인쇄관련 산업,"15,980,000","7,990,000,000"
168,031310,아이즈비전,전기 통신업,"15,772,574","7,886,287,000"
169,031330,에스에이엠티,기계장비 및 관련 물품 도매업,"99,995,067","49,997,533,500"
170,031390,녹십자셀,기초 의약물질 및 생물학적 제제 제조업,"12,111,150","6,055,575,000"
171,031510,오스템,자동차 신품 부품 제조업,"26,000,000","13,000,000,000"
172,031860,엔에스엔,상품 종합 도매업,"43,106,126","21,553,063,000"
173,031980,피에스케이홀딩스,특수 목적용 기계 제조업,"21,562,395","10,781,197,500"
174,032080,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업","21,491,029","10,745,514,500"
175,032190,다우데이타,기계장비 및 관련 물품 도매업,"38,300,000","19,150,000,000"
176,032280,삼일,도로 화물 운송업,"16,213,590","16,213,590,000"
177,032500,케이엠더블유,통신 및 방송 장비 제조업,"39,820,883","19,910,441,500"
178,032540,TJ미디어,영상 및 음향기기 제조업,"13,931,609","6,965,804,500"
179,032580,피델릭스,반도체 제조업,"30,113,422","15,056,711,000"
180,032620,유비케어,소프트웨어 개발 및 공급업,"52,197,139","26,098,569,500"
181,032680,소프트센,기계장비 및 관련 물품 도매업,"33,575,801","16,859,329,000"
182,032750,삼진,통신 및 방송 장비 제조업,"6,000,000","3,000,000,000"
183,032790,엠젠플러스,기계장비 및 관련 물품 도매업,"18,137,619","9,068,809,500"
184,032800,판타지오,창작 및 예술관련 서비스업,"72,703,943","36,351,971,500"
185,032820,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","104,606,484","52,303,242,000"
186,032850,비트컴퓨터,소프트웨어 개발 및 공급업,"16,623,293","8,311,646,500"
187,032860,글로스퍼랩스,"해체, 선별 및 원료 재생업","73,558,840","36,779,420,000"
188,032940,원익,기계장비 및 관련 물품 도매업,"18,193,230","9,096,615,000"
189,032960,동일기연,전자부품 제조업,"3,407,309","4,953,654,500"
190,032980,바이온,음·식료품 및 담배 도매업,"59,193,228","29,596,614,000"
191,033050,제이엠아이,기록매체 복제업,"32,579,342","32,579,342,000"
192,033100,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","16,062,409","8,031,204,500"
193,033110,코너스톤네트웍스,종합 소매업,"129,772,391","64,886,195,500"
194,033130,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","37,115,267","18,557,633,500"
195,033160,엠케이전자,전자부품 제조업,"21,807,689","10,903,844,500"
196,033170,시그네틱스,반도체 제조업,"85,728,319","42,864,159,500"
197,033200,모아텍,전자부품 제조업,"14,331,185","7,665,592,500"
198,033230,인성정보,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","20,896,180","10,448,090,000"
199,033290,코웰패션,"섬유, 의복, 신발 및 가죽제품 소매업","88,500,234","46,532,198,500"
200,033310,디케이디앤아이,기타 금속 가공제품 제조업,"21,972,411","10,986,205,500"
201,033320,제이씨현시스템,기계장비 및 관련 물품 도매업,"19,114,432","9,557,216,000"
202,033340,좋은사람들,봉제의복 제조업,"49,908,224","24,954,112,000"
203,033430,디에스티,특수 목적용 기계 제조업,"64,191,253","6,419,125,300"
204,033500,동성화인텍,기초 화학물질 제조업,"26,983,609","13,821,804,500"
205,033540,파라텍,특수 목적용 기계 제조업,"16,983,690","8,491,845,000"
206,033560,블루콤,영상 및 음향기기 제조업,"18,088,047","9,600,000,000"
207,033600,럭슬,자동차 신품 부품 제조업,"40,828,103","20,414,051,500"
208,033640,네패스,반도체 제조업,"23,059,202","11,629,601,000"
209,033790,스카이문스테크놀로지,통신 및 방송 장비 제조업,"17,117,100","8,558,550,000"
210,033830,티비씨,텔레비전 방송업,"100,000,000","50,000,000,000"
211,034230,파라다이스,유원지 및 기타 오락관련 서비스업,"90,942,672","47,032,355,000"
213,034940,조아제약,의약품 제조업,"30,979,827","15,489,913,500"
214,034950,한국기업평가,기타 사업지원 서비스업,"4,540,514","24,452,570,000"
215,035080,인터파크,무점포 소매업,"81,189,163","41,765,628,000"
216,035200,프럼파스트,플라스틱제품 제조업,"9,730,590","4,865,295,000"
217,035290,더블유에프엠,"서적, 잡지 및 기타 인쇄물 출판업","2,570,137","1,285,068,500"
218,035460,기산텔레콤,통신 및 방송 장비 제조업,"14,577,340","7,288,670,000"
219,035600,KG이니시스,소프트웨어 개발 및 공급업,"27,904,434","13,952,217,000"
221,035620,바른손이앤에이,"영화, 비디오물, 방송프로그램 제작 및 배급업","73,473,503","36,736,751,500"
222,035760,CJ ENM,텔레비전 방송업,"21,929,154","110,577,370,000"
223,035810,이지홀딩스,동물용 사료 및 조제식품 제조업,"55,640,623","28,196,251,000"
224,035890,서희건설,건물 건설업,"207,081,188","103,540,594,000"
225,035900,JYP Ent.,오디오물 출판 및 원판 녹음업,"35,494,992","17,942,201,500"
226,036000,예림당,"서적, 잡지 및 기타 인쇄물 출판업","23,034,277","11,617,138,500"
227,036010,아비코전자,전자부품 제조업,"13,292,934","6,896,467,000"
228,036030,KTH,상품 중개업,"35,715,022","35,715,022,000"
229,036090,위지트,특수 목적용 기계 제조업,"83,992,986","41,996,493,000"
230,036120,SCI평가정보,기타 정보 서비스업,"35,500,000","17,750,000,000"
231,036170,라이브파이낸셜,반도체 제조업,"45,121,437","45,121,437,000"
232,036180,에이프런티어,기계장비 및 관련 물품 도매업,"17,600,341","8,800,170,500"
233,036190,금화피에스시,전기 및 통신 공사업,"6,000,000","3,000,000,000"
234,036200,유니셈,특수 목적용 기계 제조업,"30,664,223","15,332,111,500"
235,036260,이매진아시아,"영화, 비디오물, 방송프로그램 제작 및 배급업","43,778,171","21,889,085,500"
236,036480,대성미생물,의약품 제조업,"3,800,000","1,900,000,000"
237,036490,SK머티리얼즈,기초 화학물질 제조업,"10,547,673","5,273,836,500"
238,036540,SFA반도체,반도체 제조업,"164,460,303","82,487,451,500"
239,036560,영풍정밀,일반 목적용 기계 제조업,"15,750,000","7,875,000,000"
240,036620,버추얼텍,기타 전문 도매업,"60,559,477","30,279,738,500"
241,036630,세종텔레콤,전기 통신업,"600,326,126","300,163,063,000"
242,036640,HRS,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000"
243,036670,KCI,기타 화학제품 제조업,"11,270,000","5,635,000,000"
244,036690,코맥스,통신 및 방송 장비 제조업,"14,991,767","7,495,883,500"
245,036710,심텍홀딩스,통신 및 방송 장비 제조업,"38,288,234","19,144,117,000"
246,036800,나이스정보통신,전기 통신업,"10,000,000","5,000,000,000"
247,036810,에프에스티,전자부품 제조업,"20,233,814","10,116,907,000"
248,036830,솔브레인홀딩스,기타 화학제품 제조업,"9,619,705","4,809,852,500"
249,036890,진성티이씨,특수 목적용 기계 제조업,"22,482,268","11,241,134,000"
250,036930,주성엔지니어링,특수 목적용 기계 제조업,"48,249,212","24,124,606,000"
251,037030,파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","13,599,551","13,599,551,000"
252,037070,파세코,가정용 기기 제조업,"14,000,000","7,000,000,000"
253,037230,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업","25,000,000","12,500,000,000"
254,037330,인지디스플레,전자부품 제조업,"43,885,224","21,942,612,000"
255,037350,성도이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업","15,470,000","7,735,000,000"
256,037370,EG,기타 전문 도매업,"7,500,000","7,500,000,000"
257,037400,우리조명,전구 및 조명장치 제조업,"24,923,346","12,461,673,000"
258,037440,희림,"건축기술, 엔지니어링 및 관련 기술 서비스업","13,922,475","6,961,237,500"
259,037460,삼지전자,통신 및 방송 장비 제조업,"16,318,522","8,309,261,000"
260,037760,쎄니트,1차 철강 제조업,"33,832,921","16,916,460,500"
261,037950,엘컴텍,전자부품 제조업,"84,447,519","42,223,759,500"
262,038010,제일테크노스,"구조용 금속제품, 탱크 및 증기발생기 제조업","9,000,000","4,500,000,000"
263,038060,루멘스,반도체 제조업,"47,718,750","23,859,375,000"
264,038070,서린바이오,기타 전문 도매업,"8,000,676","4,000,338,000"
265,038110,에코플라스틱,자동차 신품 부품 제조업,"25,669,370","12,834,685,000"
266,038160,팍스넷,기타 정보 서비스업,"12,240,376","6,120,188,000"
267,038290,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업","10,611,654","5,305,827,000"
268,038340,UCI,일반 교습 학원,"33,115,421","16,607,710,500"
269,038390,레드캡투어,여행사 및 기타 여행보조 서비스업,"8,589,480","4,294,740,000"
270,038460,바이오스마트,전자부품 제조업,"20,087,800","10,043,900,000"
271,038500,삼표시멘트,기타 비금속 광물제품 제조업,"107,357,173","53,678,586,500"
272,038530,골드퍼시픽,생활용품 도매업,"44,638,392","22,319,196,000"
273,038540,상상인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","55,328,313","57,187,237,000"
274,038620,위즈코프,연료 소매업,"38,830,772","19,415,386,000"
275,038680,에스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","16,075,215","8,037,607,500"
276,038870,에코바이오,사업시설 유지·관리 서비스업,"11,610,994","5,805,497,000"
277,038880,아이에이,전자부품 제조업,"241,417,281","24,141,728,100"
278,038950,파인디지털,통신 및 방송 장비 제조업,"10,210,765","5,105,382,500"
279,039010,현대통신,통신 및 방송 장비 제조업,"8,625,000","4,312,500,000"
280,039020,이건홀딩스,제재 및 목재 가공업,"22,584,709","22,584,709,000"
281,039030,이오테크닉스,특수 목적용 기계 제조업,"12,319,550","6,159,775,000"
